Extraction Date:,8/22/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2A,A2B,A2C,A3B,A4,A5,B2,B3,B4,B5,B6,B7,B8,C2A,C2A.1,C2A.2,C2A.3,C2A.4,C2B,C2C,C3A,C3B,C3C,D2,D3
Reporting Year,StateName,LEAName,New LEA/ESA,NCESID,Year used to make the LEA/ESA/SEA determinations,"Total LEA/ESA allocation for Section 611 
of IDEA FFY 2015 ($)","Total LEA/ESA allocation for Section 611 
of IDEA FFY 2016 ($)","Increase in LEA/ESA allocations for
Section 611 from FFY 2015 to FFY 2016 ($)","Total LEA/ESA allocation for Section 619 
of IDEA FFY 2016 ($)","Total LEA/ESA allocations
for Section 611 and 619 of IDEA for FFY 2016 ($)","15% of the total LEA/ESA allocations
for Section 611 and 619 of IDEA for FFY 2016 ($)","Determination under 34 CFR  300.600(a)(2) 
that controls whether the LEA may be able 
to reduce MOE during SY 2016-17","Reduction  of local and/or state funds taken pursuant to
Section 613(a)(2)(C) by the LEA/ESA during SY 2016-17 ($)","Percent of the available reduction taken by LEA /ESA during SY 2016-17 (%)",Did the State determine whether the LEA/ESA met the MOE compliance standard in FFY 2016/SY 2016-17? (Y/N),Did the LEA/ESA meet the MOE compliance standard in FFY 2016/SY 2016-17? (Y/N),"By the date of this data submission, did the State return non-Federal funds to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2016/SY 2016-17? (Y/N)",What amount of non-Federal funds did the State return to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2016/SY 2016-17? ($),"Required CEIS
Was the LEA/ESA required to use 15% of funds 
for CEIS due to significant disproportionality 
in SY 2016-17? (Y/N)",Required CEIS              Was the LEA/ESA identified as having significant disproportionality due to 'identification as a child with a disability'? (Y/N),Required CEIS                  Was the LEA/ESA identified as having significant disproportionality due to 'identification by disability category'? (Y/N),Required CEIS              Was the LEA/ESA identified as having significant disproportionality due to 'placement in a particular educational setting'? (Y/N),Required CEIS             Was the LEA/ESA identified as having significant disproportionality due to 'disciplinary action'? (Y/N),"Required CEIS
Amount reserved for required CEIS in the 
LEA /ESA in SY 2016-17 ($)","Required CEIS
Percent taken for required CEIS in the 
LEA /ESA in SY 2016-17 (%)","Voluntary CEIS
Did the LEA/ESA voluntarily use up to 15% of 
IDEA 611 and 619 fund for CEIS in SY 2016-17? (Y/N)","Voluntary CEIS
Amount reserved for voluntary CEIS in 
SY 2016-17 ($)","Voluntary CEIS
Percent taken for voluntary CEIS during 
SY 2016-17 (%)","Total number of children receiving CEIS under the IDEA in the LEA/ESA during 
SY 2016-17","Total number of children who received CEIS
under the IDEA anytime in the past two school years (including SY 2014-15, 
SY 2015-16 and SY 2016-17) and received special education and related services in 
SY 2016-17"
2016,Alabama,Albertville City,,0100005,2014-15,876305,985735,109430,17138,1002873,150430.95,1,54715,100,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Marshall County,,0100006,2014-15,1171135,1176977,5842,18760,1195737,179360.55,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Hoover City,,0100007,2014-15,2326402,2341783,15381,37733,2379516,356927.4,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Madison City,,0100008,2014-15,1610527,1668408,57881,38381,1706789,256018.35,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Leeds City,,0100011,2014-15,400529,410867,10338,3863,414730,62209.5,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Boaz City,,0100012,2014-15,438192,453367,15175,8943,462310,69346.5,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Trussville City,,0100013,2014-15,651913,689526,37613,2384,691910,103786.5,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Alexander City,,0100030,2014-15,676984,687871,10887,21359,709230,106384.5,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Andalusia City,,0100060,2014-15,420927,430571,9644,30589,461160,69174,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Anniston City,,0100090,2014-15,562237,589179,26942,29680,618859,92828.85,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Arab City,,0100100,2014-15,529039,523480,-5559,13268,536748,80512.2,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Athens City,,0100120,2014-15,684143,752861,68718,12323,765184,114777.6,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Attalla City,,0100180,2014-15,433833,422725,-11108,11178,433903,65085.45,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Saraland City,,0100185,2014-15,446521,459662,13141,6452,466114,69917.1,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,0,3
2016,Alabama,Chickasaw City,,0100188,2014-15,239080,266830,27750,4744,271574,40736.1,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Satsuma City,,0100189,2014-15,346450,345817,-633,5033,350850,52627.5,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Alabaster City,,0100190,2014-15,1082384,1093342,10958,18519,1111861,166779.15,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Pelham City,,0100194,2014-15,629993,606852,-23141,6889,613741,92061.15,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Pike Road City,,0100195,2014-15,135902,173607,37705,7332,180939,27140.85,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Auburn City,,0100210,2014-15,1315796,1361536,45740,26649,1388185,208227.75,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,0,8
2016,Alabama,Autauga County,,0100240,2014-15,1904055,1899210,-4845,35526,1934736,290210.4,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Baldwin County,,0100270,2014-15,5981284,6129131,147847,150314,6279445,941916.75,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Barbour County,,0100300,2014-15,266519,281579,15060,13471,295050,44257.5,2,+,0,1,1,+,+,1,0,1,0,0,44257.5,15,0,+,0,50,0
2016,Alabama,Bessemer City,,0100330,2014-15,978815,994921,16106,16700,1011621,151743.15,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Bibb County,,0100360,2014-15,836913,829156,-7757,27208,856364,128454.6,1,+,†,1,1,+,+,1,0,1,0,0,128454.6,15,0,+,0,46,34
2016,Alabama,Birmingham City,,0100390,2014-15,6464047,6830243,366196,138246,6968489,1045273.35,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Blount County,,0100420,2014-15,1601693,1572472,-29221,35017,1607489,241123.35,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Brewton City,,0100450,2014-15,241298,248481,7183,7189,255670,38350.5,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Bullock County,,0100480,2014-15,375055,392946,17891,22632,415578,62336.7,2,+,0,1,1,+,+,1,0,0,1,0,62336.7,15,0,+,0,54,1
2016,Alabama,Butler County,,0100510,2014-15,829420,837088,7668,20536,857624,128643.6,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,0,11
2016,Alabama,Calhoun County,,0100540,2014-15,2066283,2045874,-20409,26207,2072081,310812.15,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
