Extraction Date:,8/26/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revised: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,A2A,A2B,A2C,A3B,A4,A5,B2,B3,B4,B5,B6,B7,B8,C2A,C2A.1,C2A.2,C2A.3,C2A.4,C2B,C2C,C3A,C3B,C3C,D2,D3
Reporting Year,StateName,LEAName,New/Closed LEA/ESA,NCESID,Year used to make the LEA/ESA/SEA determinations,Total LEA/ESA allocation for Section 611 of IDEA FFY 2018 ($),Total LEA/ESA allocation for Section 611 of IDEA FFY 2019 ($),Increase in LEA/ESA allocations for Section 611 from FFY 2018 to FFY 2019 ($),Total LEA/ESA allocation for Section 619 of IDEA FFY 2019 ($),Total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2019 ($),15% of the total LEA/ESA allocations for Section 611 and 619 of IDEA for FFY 2019 ($),Determination under 34 CFR 300.600(a)(2) that controls whether the LEA may be able to reduce MOE during SY 2019-20,Reduction of local and/or state funds taken pursuant to Section 613(a)(2)(C) by the LEA/ESA during SY 2019-20 ($),Percent of the available reduction taken by LEA /ESA during SY 2019-20 (%),Did the State determine whether the LEA/ESA met the MOE compliance standard in FFY 2019/SY 2019-20? (Y/N),Did the LEA/ESA meet the MOE compliance standard in FFY 2019/SY 2019-20? (Y/N),"By the date of this data submission, did the State return non-Federal funds to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2019/SY 2019-20? (Y/N)",What amount of non-Federal funds did the State return to the Department based on the failure of the LEA/ESA to meet the MOE compliance standard in FFY 2019/SY 2019-20? ($),Required CEIS Was the LEA/ESA required to use 15% of funds for CEIS due to significant disproportionality in SY 2019-20? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification as a child with a disability'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'identification by disability category'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'placement in a particular educational setting'? (Y/N),Required CEIS Was the LEA/ESA identified as having significant disproportionality due to 'disciplinary action'? (Y/N),Required CEIS Amount reserved for required CEIS in the LEA /ESA in SY 2019-20 ($),Required CEIS Percent taken for required CEIS in the LEA /ESA in SY 2019-20 (%),Voluntary CEIS Did the LEA/ESA voluntarily use up to 15% of IDEA 611 and 619 fund for CEIS in SY 2019-20? (Y/N),Voluntary CEIS Amount reserved for voluntary CEIS in SY 2019-20 ($),Voluntary CEIS Percent taken for voluntary CEIS during SY 2019-20 (%),Total number of children receiving CEIS under the IDEA in the LEA/ESA during SY 2019-20,"Total number of children who received CEIS under the IDEA anytime in the past two school years (including SY 2017-18, SY 2018-19 and SY 2019-20) and received special education and related services in SY 2019-20"
2019,Alabama,Albertville City,,100005,2018-19,1119668,1078069,-41599,15546,1093615,164042.25,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Marshall County,,100006,2018-19,1279933,1220251,-59682,17928,1238179,185726.85,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Hoover City,,100007,2018-19,2586514,2462671,-123843,35346,2498017,374702.55,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Madison City,,100008,2018-19,1931861,1914172,-17689,37722,1951894,292784.1,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Leeds City,,100011,2018-19,443333,423344,-19989,3297,426641,63996.15,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Boaz City,,100012,2018-19,504675,483998,-20677,8460,492458,73868.7,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Trussville City,,100013,2018-19,779086,756303,-22783,17406,773709,116056.35,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Alexander City,,100030,2018-19,741943,714624,-27319,20756,735380,110307,2,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Andalusia City,,100060,2018-19,468509,455574,-12935,30625,486199,72929.85,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Anniston City,,100090,2018-19,625384,593921,-31463,29332,623253,93487.95,2,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Arab City,,100100,2018-19,567139,555927,-11212,12888,568815,85322.25,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Athens City,,100120,2018-19,919441,841602,-77839,11720,853322,127998.3,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Attalla City,,100180,2018-19,433021,409764,-23257,10985,420749,63112.35,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Saraland City,,100185,2018-19,526779,504869,-21910,6242,511111,76666.65,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Chickasaw City,,100188,2018-19,308420,298063,-10357,4539,302602,45390.3,2,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Satsuma City,,100189,2018-19,392735,385610,-7125,4976,390586,58587.9,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Alabaster City,,100190,2018-19,1188626,1148008,-40618,17557,1165565,174834.75,2,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Pelham City,,100194,2018-19,685526,669743,-15783,6156,675899,101384.85,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Pike Road City,,100195,2018-19,271625,297291,25666,7234,304525,45678.75,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Acceleration Day and Evening Academy,,100197,2018-19,56708,64066,7358,0,64066,9609.9,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,University Charter School,,100199,2018-19,73303,53852,-19451,3671,57523,8628.45,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Auburn City,,100210,2018-19,1539626,1487593,-52033,25057,1512650,226897.5,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Autauga County,,100240,2018-19,2010198,1916846,-93352,33709,1950555,292583.25,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Baldwin County,,100270,2018-19,6740326,6154167,-586159,141231,6295398,944309.7,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Barbour County,,100300,2018-19,285186,271465,-13721,13240,284705,42705.75,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Bessemer City,,100330,2018-19,1045319,1006185,-39134,15730,1021915,153287.25,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Bibb County,,100360,2018-19,876912,840037,-36875,26770,866807,130021.05,2,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Birmingham City,,100390,2018-19,7137648,6793066,-344582,131568,6924634,1038695.1,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Blount County,,100420,2018-19,1678706,1579422,-99284,33393,1612815,241922.25,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Brewton City,,100450,2018-19,263675,253907,-9768,6884,260791,39118.65,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Bullock County,,100480,2018-19,418625,401237,-17388,22397,423634,63545.1,2,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Butler County,,100510,2018-19,877822,844677,-33145,19795,864472,129670.8,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Calhoun County,,100540,2018-19,2127965,2028569,-99396,24675,2053244,307986.6,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Chambers County,,100600,2018-19,899783,855690,-44093,33312,889002,133350.3,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Cherokee County,,100630,2018-19,999169,951835,-47334,18597,970432,145564.8,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Chilton County,,100660,2018-19,1832774,1784602,-48172,88870,1873472,281020.8,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Choctaw County,,100690,2018-19,422621,395759,-26862,15900,411659,61748.85,2,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Clarke County,,100720,2018-19,709096,667921,-41175,29856,697777,104666.55,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Clay County,,100750,2018-19,493955,470503,-23452,8203,478706,71805.9,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Cleburne County,,100780,2018-19,647378,619103,-28275,45613,664716,99707.4,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Coffee County,,100810,2018-19,503203,521543,18340,18874,540417,81062.55,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Colbert County,,100840,2018-19,758399,730313,-28086,19524,749837,112475.55,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Conecuh County,,100870,2018-19,525030,508840,-16190,16216,525056,78758.4,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Coosa County,,100900,2018-19,305126,290109,-15017,12225,302334,45350.1,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Covington County,,100930,2018-19,751910,728382,-23528,42648,771030,115654.5,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Crenshaw County,,100960,2018-19,531219,508374,-22845,9370,517744,77661.6,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Cullman City,,100990,2018-19,654925,632261,-22664,25072,657333,98599.95,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Cullman County,,101020,2018-19,2120724,2010588,-110136,51258,2061846,309276.9,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Dale County,,101050,2018-19,756030,732848,-23182,11730,744578,111686.7,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Daleville City,,101080,2018-19,293736,308476,14740,8893,317369,47605.35,2,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Dallas County,,101110,2018-19,922021,870302,-51719,16730,887032,133054.8,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,DeKalb County,,101140,2018-19,2048885,1957723,-91162,36081,1993804,299070.6,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Decatur City,,101170,2018-19,2035499,1944281,-91218,47419,1991700,298755,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Demopolis City,,101200,2018-19,481457,446604,-34853,13331,459935,68990.25,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Dothan City,,101230,2018-19,2318537,2228042,-90495,110360,2338402,350760.3,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Elba City,,101260,2018-19,189058,185058,-4000,5774,190832,28624.8,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Elmore County,,101290,2018-19,2493961,2394374,-99587,46946,2441320,366198,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Enterprise City,,101320,2018-19,1402699,1277620,-125079,20076,1297696,194654.4,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Escambia County,,101350,2018-19,1075616,1024014,-51602,25324,1049338,157400.7,2,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Etowah County,,101380,2018-19,1994453,1920516,-73937,38744,1959260,293889,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Eufaula City,,101410,2018-19,944708,1053213,108505,16435,1069648,160447.2,1,0,0,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Fairfield City,,101440,2018-19,440877,410498,-30379,9672,420170,63025.5,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Fayette County,,101470,2018-19,573471,552867,-20604,15974,568841,85326.15,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Florence City,,101530,2018-19,999071,947068,-52003,35525,982593,147388.95,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Fort Payne City,,101560,2018-19,710325,677705,-32620,14656,692361,103854.15,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Franklin County,,101590,2018-19,777120,740945,-36175,15027,755972,113395.8,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Gadsden City,,101620,2018-19,1294784,1245486,-49298,64847,1310333,196549.95,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Geneva City,,101640,2018-19,308026,294270,-13756,16343,310613,46591.95,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Geneva County,,101660,2018-19,632236,609468,-22768,6750,616218,92432.7,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Greene County,,101680,2018-19,305549,291446,-14103,41039,332485,49872.75,2,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Guntersville City,,101690,2018-19,408030,385086,-22944,8674,393760,59064,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Hale County,,101710,2018-19,668327,636391,-31936,42673,679064,101859.6,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Haleyville City,,101720,2018-19,389460,364926,-24534,16039,380965,57144.75,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Hartselle City,,101730,2018-19,698905,689003,-9902,15393,704396,105659.4,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Henry County,,101740,2018-19,588008,571495,-16513,20801,592296,88844.4,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Homewood City,,101760,2018-19,817071,795393,-21678,8844,804237,120635.55,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Houston County,,101770,2018-19,1515684,1465142,-50542,42235,1507377,226106.55,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
2019,Alabama,Huntsville City,,101800,2018-19,5509713,5306767,-202946,107866,5414633,812194.95,1,0,†,1,1,+,+,0,0,0,0,0,+,0,0,+,0,+,+
